Cochran_Q,HK_q,I2_percent,Q_df,Q_p_value,algorithm,between_cycle_variance_method,bootstrap_bias,bootstrap_mean,bootstrap_se,ci_level,ci_lower,ci_method,ci_upper,comparison,confidence_interval_method,core_model,cycle,design_df,events,extended_model,k_cycles,metric,modified_HK_q,modified_HK_se,n,n_replicates_requested,n_replicates_valid,p_value,point_estimate,prediction_interval_lower,prediction_interval_upper,replicate_method,row_type,tau2_REML,tau_REML,valid_replicate_fraction,weight_variable
,,,,,elastic_net,,-0.0001627388154947,0.004479066598749,0.0024082418944476,0.95,-0.000298539685719,percentile,0.0090027154632415,renal,,model0_core,2005-2006,15.0,533.0,model1_renal,,delta_AUROC,,,4448.0,2000.0,2000.0,,0.0046418054142438,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,0.0002458535933093,0.0249300358679553,0.0089097771530826,0.95,0.0076503893599382,percentile,0.0424407436844455,renal,,model0_core,2005-2006,15.0,533.0,model1_renal,,delta_PR_AUC,,,4448.0,2000.0,2000.0,,0.024684182274646,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,0.0001177712382418,0.0039039250863458,0.0032156471079254,0.95,-0.0010668148346827,percentile,0.0095595729545413,renal,,model0_core,2007-2008,16.0,677.0,model1_renal,,delta_AUROC,,,5649.0,2000.0,2000.0,,0.0037861538481039,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,0.0001950863177285,0.0226314227128876,0.0107139132536744,0.95,0.0034098713275631,percentile,0.0430266443598428,renal,,model0_core,2007-2008,16.0,677.0,model1_renal,,delta_PR_AUC,,,5649.0,2000.0,2000.0,,0.022436336395159,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,-0.0001473010927472,0.0035664943369083,0.0019623836344267,0.95,-0.000187181010174,percentile,0.0074205778218489,renal,,model0_core,2009-2010,16.0,646.0,model1_renal,,delta_AUROC,,,5990.0,2000.0,2000.0,,0.0037137954296555,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,4.053094212393637e-05,0.0013868886011335,0.0065496437838987,0.95,-0.0103010071755023,percentile,0.0143289010006328,renal,,model0_core,2009-2010,16.0,646.0,model1_renal,,delta_PR_AUC,,,5990.0,2000.0,2000.0,,0.0013463576590095,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,-1.725583776090913e-05,0.0051522069516743,0.001457461072354,0.95,0.0024962318287401,percentile,0.0079978124818104,renal,,model0_core,2011-2012,17.0,550.0,model1_renal,,delta_AUROC,,,5260.0,2000.0,2000.0,,0.0051694627894353,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,6.409858017056985e-05,0.0252617677272359,0.0074322892715158,0.95,0.0121145885332274,percentile,0.0402788826649757,renal,,model0_core,2011-2012,17.0,550.0,model1_renal,,delta_PR_AUC,,,5260.0,2000.0,2000.0,,0.0251976691470653,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,0.0001372271743742,0.0068169105797674,0.0022622344698763,0.95,0.0027420885239575,percentile,0.0111190185634297,renal,,model0_core,2013-2014,15.0,573.0,model1_renal,,delta_AUROC,,,5522.0,2000.0,2000.0,,0.0066796834053931,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,0.0004704444585342,0.0183869712639531,0.0073310072240911,0.95,0.0048794094144872,percentile,0.0326914652997172,renal,,model0_core,2013-2014,15.0,573.0,model1_renal,,delta_PR_AUC,,,5522.0,2000.0,2000.0,,0.0179165268054189,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,2.8006520786596698e-05,0.0051640022586981,0.0016341666349493,0.95,0.0020069470736186,percentile,0.0083069042253767,renal,,model0_core,2015-2016,15.0,597.0,model1_renal,,delta_AUROC,,,5404.0,2000.0,2000.0,,0.0051359957379115,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,0.0004578018641597,0.0123477192521427,0.0071858463961825,0.95,-0.0012591818529944,percentile,0.0263053146543346,renal,,model0_core,2015-2016,15.0,597.0,model1_renal,,delta_PR_AUC,,,5404.0,2000.0,2000.0,,0.011889917387983,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,6.187592553656219e-05,0.002251779381689,0.0018358488694582,0.95,-0.0010592532053653,percentile,0.0059169263666261,renal,,model0_core,2017-2018,15.0,646.0,model1_renal,,delta_AUROC,,,5209.0,2000.0,2000.0,,0.0021899034561524,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,-0.0003836315412914,0.0114108379187143,0.0072448448252285,0.95,-0.00280106490738,percentile,0.0250721215438138,renal,,model0_core,2017-2018,15.0,646.0,model1_renal,,delta_PR_AUC,,,5209.0,2000.0,2000.0,,0.0117944694600057,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_mec_weight
,,,,,elastic_net,,-0.000456040611507,0.0144194038848592,0.0055617951515126,0.95,0.0030202671655428,percentile,0.0246466310357751,combined,,model0_paired_combined,2005-2006,15.0,216.0,model4_combined,,delta_AUROC,,,1836.0,2000.0,2000.0,,0.0148754444963663,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_fasting_weight
,,,,,elastic_net,,0.0004332855347534,0.0506299466315344,0.0221659104672101,0.95,0.0106253635700471,percentile,0.096347357510715,combined,,model0_paired_combined,2005-2006,15.0,216.0,model4_combined,,delta_PR_AUC,,,1836.0,2000.0,2000.0,,0.050196661096781,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_fasting_weight
,,,,,elastic_net,,0.0007944149953631,0.0103627704858118,0.0068704012042636,0.95,0.0001877859683603,percentile,0.0226898450943368,combined,,model0_paired_combined,2007-2008,16.0,288.0,model4_combined,,delta_AUROC,,,2337.0,2000.0,2000.0,,0.0095683554904486,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_fasting_weight
,,,,,elastic_net,,0.0028676259226437,0.0222297321030062,0.0173128363377864,0.95,-0.0061136978194015,percentile,0.0598341477997294,combined,,model0_paired_combined,2007-2008,16.0,288.0,model4_combined,,delta_PR_AUC,,,2337.0,2000.0,2000.0,,0.0193621061803625,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_fasting_weight
,,,,,elastic_net,,2.4816954738704315e-05,0.0052541637114325,0.0036998138027532,0.95,-0.001533151396343,percentile,0.0125447085795191,combined,,model0_paired_combined,2009-2010,16.0,273.0,model4_combined,,delta_AUROC,,,2594.0,2000.0,2000.0,,0.0052293467566938,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_fasting_weight
,,,,,elastic_net,,0.0014427564301295,0.004854860129828,0.0134094764690401,0.95,-0.0204393347002989,percentile,0.0311569930277831,combined,,model0_paired_combined,2009-2010,16.0,273.0,model4_combined,,delta_PR_AUC,,,2594.0,2000.0,2000.0,,0.0034121036996984,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_fasting_weight
,,,,,elastic_net,,-0.0001179811752511,0.0065370670603502,0.0032216864570859,0.95,3.6019826131474206e-05,percentile,0.0123584076274288,combined,,model0_paired_combined,2011-2012,17.0,239.0,model4_combined,,delta_AUROC,,,2294.0,2000.0,2000.0,,0.0066550482356013,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_fasting_weight
,,,,,elastic_net,,0.0005254463592583,0.0225408991142732,0.0118812490782596,0.95,-0.0002456078326971,percentile,0.046870582467213,combined,,model0_paired_combined,2011-2012,17.0,239.0,model4_combined,,delta_PR_AUC,,,2294.0,2000.0,2000.0,,0.0220154527550149,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_fasting_weight
,,,,,elastic_net,,0.0003485772593847,0.0040631353902054,0.0051054819569318,0.95,-0.0050037165710112,percentile,0.0140309856521566,combined,,model0_paired_combined,2013-2014,15.0,244.0,model4_combined,,delta_AUROC,,,2370.0,2000.0,2000.0,,0.0037145581308207,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_fasting_weight
,,,,,elastic_net,,0.0024871511739771,0.0209775445178197,0.0197517073216902,0.95,-0.0173472733320315,percentile,0.0561711148168499,combined,,model0_paired_combined,2013-2014,15.0,244.0,model4_combined,,delta_PR_AUC,,,2370.0,2000.0,2000.0,,0.0184903933438426,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_fasting_weight
,,,,,elastic_net,,0.0001225083458343,0.0090718286724466,0.0039630492201058,0.95,0.0014636452749437,percentile,0.0170459472516498,combined,,model0_paired_combined,2015-2016,15.0,266.0,model4_combined,,delta_AUROC,,,2246.0,2000.0,2000.0,,0.0089493203266123,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_fasting_weight
,,,,,elastic_net,,9.60194204440365e-05,0.0349676797031135,0.0090990382734225,0.95,0.017783362601979,percentile,0.0532473420246261,combined,,model0_paired_combined,2015-2016,15.0,266.0,model4_combined,,delta_PR_AUC,,,2246.0,2000.0,2000.0,,0.0348716602826695,,,rao_wu_rescaled_bootstrap,cycle_specific,,,1.0,combined_fasting_weight
